sta_code_h3;clc_2018_lvl1_dom_class;clc_2018_lvl1_1;clc_2018_lvl1_2;clc_2018_lvl1_3;clc_2018_lvl1_4;clc_2018_lvl1_5;clc_2018_lvl1_na;clc_2018_lvl2_dom_class;clc_2018_lvl2_11;clc_2018_lvl2_12;clc_2018_lvl2_13;clc_2018_lvl2_14;clc_2018_lvl2_21;clc_2018_lvl2_22;clc_2018_lvl2_23;clc_2018_lvl2_24;clc_2018_lvl2_31;clc_2018_lvl2_32;clc_2018_lvl2_33;clc_2018_lvl2_41;clc_2018_lvl2_42;clc_2018_lvl2_51;clc_2018_lvl2_52;clc_2018_lvl2_na;clc_2018_lvl3_dom_class;clc_2018_lvl3_111;clc_2018_lvl3_112;clc_2018_lvl3_121;clc_2018_lvl3_122;clc_2018_lvl3_123;clc_2018_lvl3_124;clc_2018_lvl3_131;clc_2018_lvl3_132;clc_2018_lvl3_133;clc_2018_lvl3_141;clc_2018_lvl3_142;clc_2018_lvl3_211;clc_2018_lvl3_212;clc_2018_lvl3_213;clc_2018_lvl3_221;clc_2018_lvl3_222;clc_2018_lvl3_223;clc_2018_lvl3_231;clc_2018_lvl3_241;clc_2018_lvl3_242;clc_2018_lvl3_243;clc_2018_lvl3_244;clc_2018_lvl3_311;clc_2018_lvl3_312;clc_2018_lvl3_313;clc_2018_lvl3_321;clc_2018_lvl3_322;clc_2018_lvl3_323;clc_2018_lvl3_324;clc_2018_lvl3_331;clc_2018_lvl3_332;clc_2018_lvl3_333;clc_2018_lvl3_334;clc_2018_lvl3_335;clc_2018_lvl3_411;clc_2018_lvl3_412;clc_2018_lvl3_421;clc_2018_lvl3_422;clc_2018_lvl3_423;clc_2018_lvl3_511;clc_2018_lvl3_512;clc_2018_lvl3_521;clc_2018_lvl3_522;clc_2018_lvl3_523;clc_2018_lvl3_na;clc_1990_lvl1_dom_class;clc_1990_lvl1_1;clc_1990_lvl1_2;clc_1990_lvl1_3;clc_1990_lvl1_4;clc_1990_lvl1_5;clc_1990_lvl1_na;clc_1990_lvl2_dom_class;clc_1990_lvl2_11;clc_1990_lvl2_12;clc_1990_lvl2_13;clc_1990_lvl2_14;clc_1990_lvl2_21;clc_1990_lvl2_22;clc_1990_lvl2_23;clc_1990_lvl2_24;clc_1990_lvl2_31;clc_1990_lvl2_32;clc_1990_lvl2_33;clc_1990_lvl2_41;clc_1990_lvl2_42;clc_1990_lvl2_51;clc_1990_lvl2_52;clc_1990_lvl2_na;clc_1990_lvl3_dom_class;clc_1990_lvl3_111;clc_1990_lvl3_112;clc_1990_lvl3_121;clc_1990_lvl3_122;clc_1990_lvl3_123;clc_1990_lvl3_124;clc_1990_lvl3_131;clc_1990_lvl3_132;clc_1990_lvl3_133;clc_1990_lvl3_141;clc_1990_lvl3_142;clc_1990_lvl3_211;clc_1990_lvl3_212;clc_1990_lvl3_213;clc_1990_lvl3_221;clc_1990_lvl3_222;clc_1990_lvl3_223;clc_1990_lvl3_231;clc_1990_lvl3_241;clc_1990_lvl3_242;clc_1990_lvl3_243;clc_1990_lvl3_244;clc_1990_lvl3_311;clc_1990_lvl3_312;clc_1990_lvl3_313;clc_1990_lvl3_321;clc_1990_lvl3_322;clc_1990_lvl3_323;clc_1990_lvl3_324;clc_1990_lvl3_331;clc_1990_lvl3_332;clc_1990_lvl3_333;clc_1990_lvl3_334;clc_1990_lvl3_335;clc_1990_lvl3_411;clc_1990_lvl3_412;clc_1990_lvl3_421;clc_1990_lvl3_422;clc_1990_lvl3_423;clc_1990_lvl3_511;clc_1990_lvl3_512;clc_1990_lvl3_521;clc_1990_lvl3_522;clc_1990_lvl3_523;clc_1990_lvl3_na
H032103001;3;1.07;43.38;55.55;0.00;0.00;0.00;31;0.99;0.00;0.00;0.08;32.63;0.00;8.64;2.11;54.38;1.16;0.00;0.00;0.00;0.00;0.00;0.00;311;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;32.63;0.00;0.00;0.00;0.00;0.00;8.64;0.00;1.46;0.65;0.00;47.32;5.65;1.42;0.00;0.00;0.00;1.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3;0.86;43.59;55.55;0.00;0.00;0.00;31;0.86;0.00;0.00;0.00;33.09;0.00;8.24;2.26;54.34;1.22;0.00;0.00;0.00;0.00;0.00;0.00;311;0.00;0.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33.09;0.00;0.00;0.00;0.00;0.00;8.24;0.00;1.44;0.81;0.00;47.42;5.61;1.31;0.00;0.00;0.00;1.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
H050301001;2;3.72;63.77;30.64;0.11;1.76;0.00;21;3.25;0.44;0.03;0.00;52.81;0.00;6.80;4.16;29.89;0.75;0.00;0.11;0.00;1.76;0.00;0.00;211;0.00;3.25;0.44;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;52.81;0.00;0.00;0.00;0.00;0.00;6.80;0.00;2.86;1.30;0.00;27.87;1.39;0.63;0.00;0.00;0.00;0.75;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.00;0.00;0.00;0.00;1.76;0.00;0.00;0.00;0.00;2;3.10;64.58;30.86;0.11;1.35;0.00;21;2.71;0.14;0.25;0.00;53.54;0.00;7.21;3.83;30.13;0.72;0.00;0.11;0.00;1.35;0.00;0.00;211;0.00;2.71;0.14;0.00;0.00;0.00;0.25;0.00;0.00;0.00;0.00;53.54;0.00;0.00;0.00;0.00;0.00;7.21;0.00;2.26;1.57;0.00;27.97;1.54;0.63;0.00;0.00;0.00;0.72;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.00;0.00;0.00;0.00;1.35;0.00;0.00;0.00;0.00
H070201001;2;3.31;67.41;28.99;0.00;0.29;0.00;21;2.49;0.29;0.00;0.52;53.57;0.00;11.47;2.37;28.70;0.29;0.00;0.00;0.00;0.29;0.00;0.00;211;0.00;2.49;0.18;0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.52;53.57;0.00;0.00;0.00;0.00;0.00;11.47;0.00;1.50;0.87;0.00;27.91;0.79;0.00;0.00;0.00;0.00;0.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.29;0.00;0.00;0.00;0.00;2;2.32;68.34;29.04;0.00;0.30;0.00;21;2.10;0.11;0.00;0.11;55.41;0.00;11.39;1.54;28.86;0.18;0.00;0.00;0.00;0.30;0.00;0.00;211;0.00;2.10;0.00;0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.11;55.41;0.00;0.00;0.00;0.00;0.00;11.39;0.00;0.87;0.68;0.00;27.71;1.15;0.00;0.00;0.00;0.00;0.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.30;0.00;0.00;0.00;0.00
H120101001;3;1.70;42.31;55.85;0.00;0.14;0.00;31;1.11;0.47;0.04;0.09;33.70;0.61;6.59;1.41;55.10;0.74;0.00;0.00;0.00;0.14;0.00;0.00;311;0.00;1.11;0.10;0.05;0.00;0.32;0.04;0.00;0.00;0.00;0.09;33.70;0.00;0.00;0.61;0.00;0.00;6.59;0.00;1.01;0.40;0.00;48.67;5.13;1.30;0.00;0.02;0.00;0.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.14;0.00;0.00;0.00;0.00;3;1.66;42.35;55.96;0.00;0.03;0.00;31;1.01;0.46;0.10;0.09;33.60;0.62;6.65;1.48;54.73;1.22;0.00;0.00;0.00;0.03;0.00;0.00;311;0.00;1.01;0.09;0.05;0.00;0.32;0.10;0.00;0.00;0.00;0.09;33.60;0.00;0.00;0.62;0.00;0.00;6.65;0.00;1.09;0.40;0.00;48.71;5.02;1.00;0.00;0.07;0.00;1.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00
H200102001;3;1.22;34.52;64.26;0.00;0.00;0.00;31;1.22;0.00;0.00;0.00;0.00;0.00;31.62;2.90;63.83;0.43;0.00;0.00;0.00;0.00;0.00;0.00;231;0.00;1.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31.62;0.00;0.62;2.29;0.00;23.74;30.83;9.26;0.00;0.00;0.00;0.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3;0.91;34.57;64.52;0.00;0.00;0.00;31;0.91;0.00;0.00;0.00;0.00;0.00;31.83;2.73;62.13;2.39;0.00;0.00;0.00;0.00;0.00;0.00;231;0.00;0.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31.83;0.00;0.62;2.12;0.00;24.26;29.43;8.44;0.00;0.00;0.00;2.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
H201301001;3;0.83;17.20;81.97;0.00;0.00;0.00;31;0.83;0.00;0.00;0.00;0.00;0.00;13.63;3.57;78.90;3.07;0.00;0.00;0.00;0.00;0.00;0.00;312;0.00;0.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.63;0.00;2.23;1.35;0.00;36.34;38.24;4.33;0.00;0.00;0.00;3.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3;0.83;17.44;81.73;0.00;0.00;0.00;31;0.83;0.00;0.00;0.00;0.00;0.00;13.69;3.75;77.17;4.56;0.00;0.00;0.00;0.00;0.00;0.00;311;0.00;0.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.69;0.00;2.07;1.68;0.00;37.25;34.99;4.94;0.00;0.00;0.00;4.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
H206201001;2;0.56;72.91;26.26;0.00;0.27;0.00;23;0.56;0.00;0.00;0.00;30.24;0.00;41.01;1.67;24.76;1.50;0.00;0.00;0.00;0.27;0.00;0.00;231;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30.24;0.00;0.00;0.00;0.00;0.00;41.01;0.00;0.98;0.68;0.00;24.19;0.50;0.07;0.00;0.10;0.00;1.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.27;0.00;0.00;0.00;0.00;2;0.39;73.50;25.97;0.00;0.14;0.00;23;0.39;0.00;0.00;0.00;27.73;0.00;44.11;1.66;24.14;1.83;0.00;0.00;0.00;0.14;0.00;0.00;231;0.00;0.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.73;0.00;0.00;0.00;0.00;0.00;44.11;0.00;0.97;0.69;0.00;23.71;0.33;0.10;0.00;0.00;0.00;1.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.14;0.00;0.00;0.00;0.00
H207311001;3;1.32;38.07;60.60;0.00;0.00;0.00;31;1.32;0.00;0.00;0.00;24.89;0.00;10.75;2.44;58.97;1.63;0.00;0.00;0.00;0.00;0.00;0.00;311;0.00;1.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24.89;0.00;0.00;0.00;0.00;0.00;10.75;0.00;0.86;1.58;0.00;57.19;1.78;0.00;0.00;0.00;0.00;1.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3;1.33;37.95;60.72;0.00;0.00;0.00;31;1.33;0.00;0.00;0.00;21.85;0.00;13.33;2.77;57.03;3.70;0.00;0.00;0.00;0.00;0.00;0.00;311;0.00;1.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;21.85;0.00;0.00;0.00;0.00;0.00;13.33;0.00;0.86;1.91;0.00;54.98;2.05;0.00;0.00;0.00;0.00;3.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
H208311001;2;2.41;70.51;27.08;0.00;0.00;0.00;21;2.41;0.00;0.00;0.00;67.40;0.00;0.75;2.36;26.86;0.22;0.00;0.00;0.00;0.00;0.00;0.00;211;0.00;2.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;67.40;0.00;0.00;0.00;0.00;0.00;0.75;0.00;0.60;1.76;0.00;26.06;0.53;0.27;0.00;0.00;0.00;0.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2;2.41;70.53;27.06;0.00;0.00;0.00;21;2.41;0.00;0.00;0.00;67.91;0.00;0.75;1.87;27.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;211;0.00;2.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;67.91;0.00;0.00;0.00;0.00;0.00;0.75;0.00;0.24;1.63;0.00;26.27;0.53;0.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
H226000201;2;3.15;69.86;26.99;0.00;0.00;0.00;21;3.15;0.00;0.00;0.00;59.72;0.00;3.08;7.05;26.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;211;0.00;3.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;59.72;0.00;0.00;0.00;0.00;0.00;3.08;0.00;3.16;3.89;0.00;26.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2;2.45;70.27;27.28;0.00;0.00;0.00;21;2.45;0.00;0.00;0.00;60.68;0.00;3.88;5.70;26.65;0.64;0.00;0.00;0.00;0.00;0.00;0.00;211;0.00;2.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.68;0.00;0.00;0.00;0.00;0.00;3.88;0.00;3.03;2.67;0.00;26.65;0.00;0.00;0.00;0.00;0.00;0.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
H232201001;2;1.74;75.12;23.04;0.00;0.11;0.00;23;1.63;0.00;0.00;0.10;13.74;0.00;53.65;7.72;22.42;0.62;0.00;0.00;0.00;0.11;0.00;0.00;231;0.00;1.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.10;13.74;0.00;0.00;0.00;0.00;0.00;53.65;0.00;3.96;3.76;0.00;19.02;2.35;1.05;0.00;0.41;0.00;0.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.00;0.00;0.00;2;1.48;75.91;22.52;0.00;0.10;0.00;23;1.38;0.00;0.00;0.11;13.77;0.00;55.21;6.92;22.13;0.39;0.00;0.00;0.00;0.10;0.00;0.00;231;0.00;1.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;13.77;0.00;0.00;0.00;0.00;0.00;55.21;0.00;3.21;3.72;0.00;19.12;2.35;0.66;0.00;0.00;0.00;0.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00
H234202001;2;1.51;71.70;26.71;0.00;0.08;0.00;21;1.33;0.00;0.16;0.03;38.39;2.72;25.48;5.12;26.24;0.47;0.00;0.00;0.00;0.08;0.00;0.00;211;0.00;1.33;0.00;0.00;0.00;0.00;0.16;0.00;0.00;0.00;0.03;38.39;0.00;0.00;2.72;0.00;0.00;25.48;0.00;2.04;3.08;0.00;21.87;2.40;1.97;0.00;0.12;0.00;0.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.00;0.00;0.00;0.00;2;1.04;72.19;26.69;0.00;0.08;0.00;21;0.89;0.00;0.13;0.03;37.69;2.47;27.07;4.95;26.28;0.41;0.00;0.00;0.00;0.08;0.00;0.00;211;0.00;0.89;0.00;0.00;0.00;0.00;0.13;0.00;0.00;0.00;0.03;37.69;0.00;0.00;2.47;0.00;0.00;27.07;0.00;2.07;2.88;0.00;21.89;2.33;2.06;0.00;0.02;0.00;0.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.00;0.00;0.00;0.00
H247301001;2;1.52;60.12;38.23;0.00;0.13;0.00;21;1.36;0.00;0.07;0.09;44.00;0.00;11.01;5.11;37.46;0.77;0.00;0.00;0.00;0.13;0.00;0.00;211;0.00;1.36;0.00;0.00;0.00;0.00;0.07;0.00;0.00;0.00;0.09;44.00;0.00;0.00;0.00;0.00;0.00;11.01;0.00;3.02;2.09;0.00;35.57;1.16;0.73;0.00;0.35;0.00;0.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.13;0.00;0.00;0.00;0.00;2;1.28;60.50;38.10;0.00;0.13;0.00;21;1.19;0.00;0.00;0.09;44.22;0.00;11.40;4.88;37.91;0.19;0.00;0.00;0.00;0.13;0.00;0.00;211;0.00;1.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.09;44.22;0.00;0.00;0.00;0.00;0.00;11.40;0.00;2.93;1.95;0.00;35.80;1.38;0.72;0.00;0.00;0.00;0.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.13;0.00;0.00;0.00;0.00
H248201001;2;2.43;66.34;31.07;0.00;0.15;0.00;21;1.98;0.28;0.11;0.06;40.81;0.05;20.58;4.90;30.66;0.41;0.00;0.00;0.00;0.15;0.00;0.00;211;0.02;1.96;0.23;0.04;0.00;0.01;0.10;0.01;0.00;0.00;0.06;40.81;0.00;0.00;0.05;0.00;0.00;20.58;0.00;2.55;2.35;0.00;26.85;1.92;1.89;0.01;0.07;0.00;0.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.15;0.00;0.00;0.00;0.00;2;1.92;66.92;31.04;0.00;0.12;0.00;21;1.58;0.24;0.04;0.05;40.80;0.05;21.30;4.78;30.50;0.55;0.00;0.00;0.00;0.12;0.00;0.00;211;0.02;1.56;0.19;0.04;0.00;0.01;0.04;0.00;0.00;0.00;0.05;40.80;0.00;0.00;0.05;0.00;0.00;21.30;0.00;2.61;2.17;0.00;26.87;1.88;1.75;0.02;0.04;0.00;0.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.12;0.00;0.00;0.00;0.00
H303000201;3;17.09;40.38;42.53;0.00;0.00;0.00;31;17.08;0.00;0.00;0.01;30.01;0.00;8.05;2.32;42.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;311;0.00;17.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;30.01;0.00;0.00;0.00;0.00;0.00;8.05;0.00;0.22;2.10;0.00;41.35;1.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3;15.68;40.93;43.40;0.00;0.00;0.00;31;15.66;0.00;0.00;0.01;31.99;0.00;8.94;0.00;38.04;5.36;0.00;0.00;0.00;0.00;0.00;0.00;311;0.00;15.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;31.99;0.00;0.00;0.00;0.00;0.00;8.94;0.00;0.00;0.00;0.00;37.21;0.83;0.00;0.00;0.00;0.00;5.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
H305000101;2;25.10;49.53;25.23;0.14;0.00;0.00;21;17.77;4.25;0.00;3.08;42.24;0.00;3.91;3.39;25.04;0.19;0.00;0.14;0.00;0.00;0.00;0.00;211;0.00;17.77;4.06;0.19;0.00;0.00;0.00;0.00;0.00;0.59;2.49;42.24;0.00;0.00;0.00;0.00;0.00;3.91;0.00;2.49;0.89;0.00;24.39;0.51;0.14;0.00;0.12;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2;22.89;51.61;25.36;0.14;0.00;0.00;21;16.40;3.37;0.12;3.00;43.65;0.25;6.15;1.56;23.83;1.53;0.00;0.14;0.00;0.00;0.00;0.00;211;0.00;16.40;3.18;0.19;0.00;0.00;0.12;0.00;0.00;0.63;2.37;43.65;0.00;0.00;0.00;0.25;0.00;6.15;0.00;1.15;0.41;0.00;23.23;0.46;0.14;0.00;0.18;0.00;1.35;0.00;0.00;0.00;0.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
H311041010;2;2.87;90.84;6.29;0.00;0.00;0.00;23;2.38;0.49;0.00;0.00;28.58;0.00;59.81;2.46;5.70;0.58;0.00;0.00;0.00;0.00;0.00;0.00;231;0.00;2.38;0.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28.58;0.00;0.00;0.00;0.00;0.00;59.81;0.00;1.65;0.81;0.00;2.87;1.01;1.82;0.00;0.00;0.00;0.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2;2.52;91.22;6.26;0.00;0.00;0.00;23;2.28;0.25;0.00;0.00;26.24;0.00;63.21;1.76;6.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;231;0.10;2.17;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;26.24;0.00;0.00;0.00;0.00;0.00;63.21;0.00;1.03;0.73;0.00;1.97;1.98;2.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
H318041010;2;4.57;81.94;13.32;0.04;0.13;0.00;21;3.81;0.33;0.05;0.38;58.72;0.00;19.26;3.96;13.18;0.14;0.00;0.04;0.00;0.13;0.00;0.00;211;0.00;3.81;0.32;0.01;0.00;0.00;0.02;0.00;0.03;0.07;0.32;58.72;0.00;0.00;0.00;0.00;0.00;19.26;0.00;2.35;1.61;0.00;12.22;0.44;0.52;0.00;0.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.13;0.00;0.00;0.00;0.00;2;3.74;82.66;13.39;0.10;0.11;0.00;21;3.17;0.18;0.03;0.36;58.73;0.02;19.83;4.07;12.87;0.52;0.00;0.10;0.00;0.11;0.00;0.00;211;0.05;3.12;0.18;0.00;0.00;0.00;0.00;0.00;0.03;0.07;0.29;58.73;0.00;0.00;0.00;0.02;0.00;19.83;0.00;2.54;1.53;0.00;11.81;0.52;0.53;0.00;0.03;0.00;0.49;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.00;0.00;0.00
H323041010;2;6.29;79.15;14.55;0.00;0.00;0.00;23;6.09;0.20;0.00;0.00;16.46;0.00;58.06;4.64;14.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;231;0.00;6.09;0.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.46;0.00;0.00;0.00;0.00;0.00;58.06;0.00;2.02;2.62;0.00;14.50;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2;5.44;81.32;13.25;0.00;0.00;0.00;23;5.23;0.21;0.00;0.00;18.50;0.00;57.82;4.99;13.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;231;0.00;5.23;0.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.50;0.00;0.00;0.00;0.00;0.00;57.82;0.00;0.86;4.13;0.00;13.15;0.00;0.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
H325041010;2;2.54;78.29;19.17;0.00;0.00;0.00;21;2.44;0.02;0.00;0.09;44.38;0.00;29.33;4.58;18.91;0.26;0.00;0.00;0.00;0.00;0.00;0.00;211;0.00;2.44;0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.09;44.38;0.00;0.00;0.00;0.00;0.00;29.33;0.00;3.56;1.02;0.00;18.36;0.30;0.25;0.00;0.00;0.00;0.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2;1.55;79.42;19.02;0.00;0.00;0.00;21;1.53;0.02;0.00;0.00;44.68;0.00;30.26;4.48;17.14;1.89;0.00;0.00;0.00;0.00;0.00;0.00;211;0.00;1.53;0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;44.68;0.00;0.00;0.00;0.00;0.00;30.26;0.00;3.39;1.09;0.00;16.58;0.33;0.23;0.00;0.00;0.00;1.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
H332201001;2;3.69;68.80;26.99;0.00;0.52;0.00;21;3.10;0.59;0.00;0.00;44.97;0.08;16.54;7.21;25.43;1.56;0.00;0.00;0.00;0.52;0.00;0.00;211;0.00;3.10;0.45;0.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;44.97;0.00;0.00;0.00;0.08;0.00;16.54;0.00;3.92;3.29;0.00;14.54;8.17;2.73;0.00;0.00;0.00;1.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.52;0.00;0.00;0.00;0.00;2;2.51;70.20;26.81;0.00;0.48;0.00;21;2.10;0.31;0.11;0.00;47.53;0.11;15.35;7.20;24.92;1.89;0.00;0.00;0.00;0.48;0.00;0.00;211;0.00;2.10;0.31;0.00;0.00;0.00;0.11;0.00;0.00;0.00;0.00;47.53;0.00;0.00;0.00;0.11;0.00;15.35;0.00;4.47;2.73;0.00;14.40;7.14;3.38;0.00;0.00;0.00;1.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.48;0.00;0.00;0.00;0.00
