date,sm,quality,pass
2015-06-18,nan,0,PM
2015-06-19,0.25506973415446405,13,AM
2015-06-19,0.283163287141634,13,PM
2015-06-20,0.2230333732904905,13,AM
2015-06-20,nan,0,PM
2015-06-21,nan,0,AM
2015-06-21,nan,0,PM
2015-06-22,0.17456333428854778,13,AM
2015-06-22,0.21417256161595566,13,PM
2015-06-23,nan,0,AM
2015-06-23,nan,0,PM
2015-06-24,nan,0,AM
2015-06-24,0.17547946672200762,13,PM
2015-06-25,0.1493925874126178,13,AM
2015-06-25,0.1672094503618781,13,PM
2015-06-26,nan,0,AM
2015-06-26,nan,0,PM
2015-06-27,0.12816062095149242,13,AM
2015-06-27,0.15421364408884897,13,PM
2015-06-28,0.1276147980795403,13,AM
2015-06-28,nan,0,PM
2015-06-29,nan,0,AM
2015-06-29,nan,0,PM
2015-06-30,0.11101737236536346,13,AM
2015-06-30,0.1436335685770807,13,PM
2015-07-01,nan,0,AM
2015-07-01,nan,0,PM
2015-07-02,nan,0,AM
2015-07-02,0.13634413822643174,13,PM
2015-07-03,0.10453887305065582,13,AM
2015-07-03,0.12975803652395732,13,PM
2015-07-04,nan,0,AM
2015-07-04,nan,0,PM
2015-07-05,0.12649918249826492,13,AM
2015-07-05,0.13406187623414037,13,PM
2015-07-06,0.10143804561428071,13,AM
2015-07-06,nan,0,PM
2015-07-07,nan,0,AM
2015-07-07,nan,0,PM
2015-07-08,0.11898854447848717,13,AM
2015-07-08,0.10732176398757325,13,PM
2015-07-09,nan,0,AM
2015-07-09,nan,0,PM
2015-07-10,nan,0,AM
2015-07-10,0.10175837097959474,13,PM
2015-07-11,0.09786591497283778,13,AM
2015-07-11,0.11731484264685714,13,PM
2015-07-12,nan,0,AM
2015-07-12,nan,0,PM
2015-07-13,0.10339574670918376,13,AM
2015-07-13,nan,0,PM
2015-07-14,0.07774842313371463,13,AM
2015-07-14,nan,0,PM
2015-07-15,nan,0,AM
2015-07-15,nan,0,PM
2015-07-16,0.08277252321478104,13,AM
2015-07-16,0.13206719046757753,13,PM
2015-07-17,nan,0,AM
2015-07-17,nan,0,PM
2015-07-18,nan,0,AM
2015-07-18,0.3705640440221999,13,PM
2015-07-19,0.34644541086000524,13,AM
2015-07-19,0.2896495767659026,13,PM
2015-07-20,nan,0,AM
2015-07-20,nan,0,PM
2015-07-21,0.2112388273875141,13,AM
2015-07-21,0.20229771055352044,13,PM
2015-07-22,0.16720355146579657,13,AM
