date,precipitation_mm
2010-01-01,1.1614320068136914
2010-01-02,0.3245711788258757
2010-01-03,1.4967431107980853
2010-01-04,0.27021225955214284
2010-01-05,1.798756375704376
2010-01-06,0.531730264626159
2010-01-07,0.27753215423333066
2010-01-08,0.6513335990578123
2010-01-09,0.19847340885219109
2010-01-10,1.5955231210894205
2010-01-11,0.5843074416628309
2010-01-12,9.796348409085036
2010-01-13,1.2652422530519876
2010-01-14,7.357885767569555
2010-01-15,1.9993438542541755
2010-01-16,9.754961166581566
2010-01-17,0.48627143137925355
2010-01-18,0.646352905774486
2010-01-19,0.651843896578186
2010-01-20,1.4763100040696344
2010-01-21,0.0502508560396846
2010-01-22,0.11499785221026856
2010-01-23,1.173702802003871
2010-01-24,0.9329330808072517
2010-01-25,0.1682204081226415
2010-01-26,3.058578395354202
2010-01-27,2.7707889576364266
2010-01-28,4.342553514069485
2010-01-29,0.4617195423879369
2010-01-30,0.8490758783852531
2010-01-31,0.013183962090873826
2010-02-01,0.604893003311248
2010-02-02,3.642321944758328
2010-02-03,0.26060033364598456
2010-02-04,4.637712151377652
2010-02-05,7.615688077076282
2010-02-06,5.719182973823034
2010-02-07,2.83382283000349
2010-02-08,0.6917281110889214
2010-02-09,2.631108424251686
2010-02-10,0.6724163649370495
2010-02-11,0.03611921040440301
2010-02-12,2.6111448797314245
2010-02-13,1.0293288721701397
2010-02-14,0.002787306930352239
2010-02-15,0.055351628147155094
2010-02-16,1.0184969760303422
2010-02-17,3.5557374869897402
2010-02-18,1.4067452480308837
2010-02-19,9.546266925187325
2010-02-20,2.4535634070371266
2010-02-21,0.8047276856733157
2010-02-22,0.9599356519810752
2010-02-23,7.68435662405048
2010-02-24,3.281074125891213
2010-02-25,4.160375117438112
2010-02-26,1.227051864633749
2010-02-27,2.630383714559883
2010-02-28,0.10245068283954487
2010-03-01,1.099206239003033
2010-03-02,0.04903730578875524
2010-03-03,1.9991380306348963
2010-03-04,0.07661234805884405
2010-03-05,0
2010-03-06,0.07453687720026303
2010-03-07,0.2747641464425363
2010-03-08,0.637487123026249
2010-03-09,0.5581196231694052
2010-03-10,3.6521482599390382
2010-03-11,4.993363952549736
2010-03-12,0.5689493877394685
2010-03-13,0
2010-03-14,0
2010-03-15,0.2692023929828334
2010-03-16,0.02833190372319154
2010-03-17,0
2010-03-18,0.610531713098278
2010-03-19,3.8876049518473375
2010-03-20,5.509060791421261
2010-03-21,1.4354159195075138
2010-03-22,0.04268224643963496
2010-03-23,0
2010-03-24,0.26269081963935476
2010-03-25,0.3700578812338846
2010-03-26,21.39874733946571
2010-03-27,4.008726323088137
2010-03-28,0.5728344617984186
2010-03-29,0.05907804261985687
2010-03-30,8.658147329054406
2010-03-31,3.882727168355853
2010-04-01,0.08074013750575242
2010-04-02,0.791629480547871
2010-04-03,7.046125461289093
2010-04-04,1.0928430341169764
2010-04-05,0
2010-04-06,0.11112135521569139
2010-04-07,5.393344647510259
2010-04-08,0.8517624191339984
2010-04-09,0
2010-04-10,0
2010-04-11,0
2010-04-12,0
2010-04-13,0.041891080654812514
2010-04-14,0
2010-04-15,2.788342553694488
2010-04-16,0.006925385643442131
2010-04-17,0
2010-04-18,0.0042903085477254
2010-04-19,0
2010-04-20,0.516089183762414
2010-04-21,0.06221697960842855
2010-04-22,2.904667605694278
2010-04-23,0.7700407127901674
2010-04-24,0
2010-04-25,0.05984133579304975
2010-04-26,0.4715351476861198
2010-04-27,0
2010-04-28,0
2010-04-29,0.9567602818199205
2010-04-30,8.709577422374606
2010-05-01,14.851801338800074
2010-05-02,0.4971740837013238
2010-05-03,0.19514150316483544
2010-05-04,13.301916498658096
2010-05-05,5.154583947161152
2010-05-06,0
2010-05-07,0.00044382502537342126
2010-05-08,0.5127980147251192
2010-05-09,7.070197084811188
2010-05-10,0.012645797315173452
2010-05-11,1.6834390724966812
2010-05-12,0.018666380180899014
2010-05-13,1.5867688329958265
2010-05-14,0.23354415900048392
2010-05-15,0.061222124304047346
2010-05-16,0.06807032378077328
2010-05-17,0.0004824185041042994
2010-05-18,0.004849914020473716
2010-05-19,0.25868352657059407
2010-05-20,0
2010-05-21,0
2010-05-22,0
2010-05-23,0
2010-05-24,0
2010-05-25,0.8139107877697707
2010-05-26,8.979772579096224
2010-05-27,1.3151865035477597
2010-05-28,1.6359154710100445
2010-05-29,0.4153902129714232
2010-05-30,4.324371682434051
2010-05-31,6.927422629167706
2010-06-01,0.10169961719851986
2010-06-02,0.07806174674328564
2010-06-03,0
2010-06-04,0
2010-06-05,0.008023156059624734
2010-06-06,8.178462530687169
2010-06-07,1.3539321996526406
2010-06-08,6.550310725342215
2010-06-09,12.406562733457953
2010-06-10,4.987896511031275
2010-06-11,3.88136353467409
2010-06-12,0.5100900368820109
2010-06-13,0.13013292853257222
2010-06-14,10.916571389259946
2010-06-15,6.034875503521153
2010-06-16,37.862728545675054
2010-06-17,11.458365988264285
2010-06-18,0.006457975788415756
2010-06-19,5.150465117235897
2010-06-20,0.017450685833307628
2010-06-21,0
2010-06-22,0
2010-06-23,0
2010-06-24,0
2010-06-25,0
2010-06-26,0
2010-06-27,0.14015436937711417
2010-06-28,2.7899977660176423
2010-06-29,1.592369178296059
2010-06-30,0.05450042738302852
2010-07-01,0.21693932049065878
2010-07-02,0
2010-07-03,17.828406458668248
2010-07-04,0.037900941899305096
2010-07-05,0.0003537735638191115
2010-07-06,0.007126929514001462
2010-07-07,0
2010-07-08,0.0001715265827870083
2010-07-09,0.12933747573016058
2010-07-10,10.541792180616008
2010-07-11,0
